github repo,cve vendor,cve product,cve ids
cesanta/mongoose,cesanta,mongoose,CVE-2017-2891 CVE-2017-2892 CVE-2017-2893 CVE-2017-2894 CVE-2017-2895 CVE-2017-2909 CVE-2017-2921 CVE-2017-2922 CVE-2018-10945 CVE-2018-18764 CVE-2018-18765 CVE-2018-19587 CVE-2018-20353 CVE-2018-20354 CVE-2018-20355 CVE-2018-20356 CVE-2019-12951 CVE-2019-13503 CVE-2019-19307 CVE-2020-25756 CVE-2020-25887 CVE-2021-26528 CVE-2021-26529 CVE-2021-26530 CVE-2022-25299
cesanta/mongoose-os,cesanta,mongoose-os,CVE-2017-7185 CVE-2021-27425
CESNET/libyang,cesnet,libyang,CVE-2019-19333 CVE-2019-19334 CVE-2019-20391 CVE-2019-20392 CVE-2019-20393 CVE-2019-20394 CVE-2019-20395 CVE-2019-20396 CVE-2019-20397 CVE-2019-20398 CVE-2021-28902 CVE-2021-28903 CVE-2021-28904 CVE-2021-28905 CVE-2021-28906
CESNET/perun,cesnet,perun,CVE-2020-5281
CESNET/theme-cesnet,cesnet,theme-cesnet,CVE-2016-15014
cetic/6lbr,cetic,cetic6lbr,
chamilo/chamilo-lms,chamilo,chamilo-lms,CVE-2012-4030 CVE-2013-6787 CVE-2015-9540 CVE-2018-1999019 CVE-2018-20327 CVE-2018-20328 CVE-2018-20329 CVE-2019-1000015 CVE-2019-1000017 CVE-2019-13082 CVE-2020-23126 CVE-2020-23127 CVE-2020-23128 CVE-2021-35413 CVE-2021-35414 CVE-2021-35415 CVE-2021-37390 CVE-2021-37391 CVE-2022-27421 CVE-2022-27422 CVE-2022-27423 CVE-2022-27426
chaskiq/chaskiq,chaskiq,chaskiq,CVE-2021-3853 CVE-2021-3857
chatwoot/chatwoot,chatwoot,chatwoot,CVE-2021-3649 CVE-2021-3740 CVE-2021-3741 CVE-2021-3742 CVE-2021-3813 CVE-2022-0526 CVE-2022-0527 CVE-2022-0542 CVE-2022-1021 CVE-2022-1022 CVE-2022-2901
check-spelling/check-spelling,check-spelling,check-spelling,CVE-2021-32724
Checkmk/checkmk,checkmk,checkmk,CVE-2017-14955 CVE-2020-24908 CVE-2020-28919 CVE-2021-36563 CVE-2021-40904 CVE-2021-40905 CVE-2021-40906 CVE-2022-24564 CVE-2022-24565 CVE-2022-24566
chef/chef,chef,chef,CVE-2015-8559
chocolatey/boxstarter,chocolatey,boxstarter,CVE-2020-15264
ChurchCRM/CRM,churchcrm,churchcrm,
chyrp/chyrp,chyrp,chyrp,CVE-2011-2743 CVE-2011-2744 CVE-2011-2745 CVE-2011-2780 CVE-2012-1001 CVE-2014-7264
cilium/cilium,cilium,cilium,CVE-2022-29178 CVE-2022-29179
CIRCL/AIL-framework,circl,ail-framework,CVE-2020-8545
cisco/node-jose,cisco,node-jose,CVE-2017-16007 CVE-2018-0114
cisco/thor,cisco,thorvideocodec,
clementine-player/Clementine,clementine-player,clementine,CVE-2018-14332 CVE-2021-40826 CVE-2021-40827
